concreteness,concept
1.19,IF [1459]
1.19,PERHAPS [2278]
1.19,BELIEF (RELIGIOUS) [3333]
1.22,BECAUSE [1157]
1.25,HOPE [1092]
1.33,ENOUGH [1881]
1.33,UNTIL [2753]
1.33,GOOD LUCK [720]
1.35,HOW [1239]
1.36,IN THIS WAY [3413]
1.39,YET [2577]
1.41,FROM HERE [2927]
1.41,CONCEPT [3966]
1.42,OF THIS KIND (SUCH) [2336]
1.43,VERY [1311]
1.44,THEN [2921]
1.47,THEORY [2433]
1.48,NOW [1376]
1.48,INSTEAD [1652]
1.48,PASSIONATE [1880]
1.5,EXPERIENCED [2218]
1.52,AND [1577]
1.52,COURAGE [3049]
1.52,JUST [84]
1.53,FATE [1688]
1.53,IMAGINE [3879]
1.54,BECOME [1990]
1.54,SYMPATHIZE [3903]
1.54,REVENGE [495]
1.54,WHICH [727]
1.54,THAT [78]
1.54,INNOCENT [90]
1.55,AMAZING [1863]
1.55,BELIEVE [1890]
1.55,WHILE [726]
1.59,NEVER [1656]
1.59,SPLENDOR [3964]
1.6,WHEN [1238]
1.61,IDEA [1609]
1.61,KEEN [39]
1.62,PEACE [1338]
1.62,BE IGNORANT [2651]
1.62,HARDLY [2926]
1.62,SUSPICION [3197]
1.62,MANNER [488]
1.64,GOOD [1035]
1.64,DELIGHT [1271]
1.64,ALREADY [2576]
1.66,HONEST [1120]
1.66,WHERE [1237]
1.66,PRIDE [3915]
1.67,HOLY [1702]
1.68,JUDGMENT [1067]
1.68,BAD [1292]
1.68,KNOW (SOMEBODY) [2248]
1.68,DECEIVE [3230]
1.68,HONOR (SOMEBODY) [3628]
1.68,ANXIOUS [3869]
1.68,CERTAIN [509]
1.68,OFFEND [557]
1.69,IN VAIN [1765]
1.69,DILIGENT [2077]
1.69,NEED (SOMETHING) [2339]
1.69,ENVY [40]
1.7,INTENTION [1162]
1.7,TRUE [1657]
1.7,LONGING (WISH) [2960]
1.71,ALWAYS [1676]
1.71,RELIGION [661]
1.72,OR [1014]
1.72,KEEN OR SUBTLE [2232]
1.72,LOGIC [2429]
1.72,CONVEY (A MESSAGE) [2898]
1.72,SUFFICE [3475]
1.73,KNOWLEDGE [3874]
1.73,INSOLENT [91]
1.74,WHO [1235]
1.74,SORROWFUL [145]
1.74,RECOMMEND [2759]
1.74,KINDNESS [3468]
1.74,SHY OR ASHAMED [3805]
1.75,STUPID [1518]
1.75,SEEM [1521]
1.75,CURIOUS [3633]
1.77,SOMETIMES [1544]
1.78,ATTENTIVE [1908]
1.78,HAPPEN [248]
1.79,CLEVER [1310]
1.79,OBSTINATE [1842]
1.79,DOUBT (SOMETHING) [3536]
1.79,SOON [703]
1.79,OPPOSITE [885]
1.8,NECESSARY [1030]
1.8,JEALOUSY [2016]
1.8,AGAINST [2469]
