concreteness,concept,n_etyma,n_neighbours
1.19,PERHAPS,18.0,15.0
1.22,BECAUSE,44.0,167.0
1.25,HOPE,32.0,60.0
1.33,ENOUGH,35.0,113.0
1.33,UNTIL,29.0,85.0
1.33,GOOD LUCK,10.0,11.0
1.35,HOW,79.0,328.0
1.39,YET,25.0,98.0
1.41,CONCEPT,6.0,13.0
1.43,VERY,107.0,608.0
1.44,THEN,47.0,152.0
1.47,THEORY,6.0,20.0
1.48,NOW,74.0,236.0
1.48,INSTEAD,10.0,33.0
1.48,PASSIONATE,13.0,17.0
1.5,EXPERIENCED,15.0,28.0
1.52,COURAGE,42.0,101.0
1.52,JUST,53.0,223.0
1.53,FATE,33.0,95.0
1.53,IMAGINE,21.0,75.0
1.54,BECOME,85.0,371.0
1.54,SYMPATHIZE,7.0,31.0
1.54,REVENGE,8.0,23.0
1.54,WHICH,56.0,96.0
1.54,THAT,113.0,178.0
1.54,INNOCENT,14.0,36.0
1.55,AMAZING,8.0,16.0
1.55,BELIEVE,46.0,115.0
1.55,WHILE,44.0,131.0
1.59,NEVER,13.0,13.0
1.59,SPLENDOR,20.0,55.0
1.6,WHEN,53.0,153.0
1.61,IDEA,38.0,155.0
1.61,KEEN,23.0,86.0
1.62,PEACE,29.0,94.0
1.62,HARDLY,7.0,8.0
1.62,SUSPICION,16.0,37.0
1.62,MANNER,63.0,293.0
1.64,GOOD,136.0,440.0
1.64,DELIGHT,27.0,35.0
1.64,ALREADY,22.0,50.0
1.66,HONEST,33.0,155.0
1.66,WHERE,40.0,86.0
1.66,PRIDE,18.0,32.0
1.67,HOLY,38.0,91.0
1.68,JUDGMENT,23.0,77.0
1.68,BAD,110.0,340.0
1.68,DECEIVE,53.0,128.0
1.68,ANXIOUS,19.0,26.0
1.68,CERTAIN,36.0,94.0
1.68,OFFEND,17.0,42.0
1.69,IN VAIN,7.0,25.0
1.69,DILIGENT,8.0,8.0
1.69,ENVY,21.0,27.0
1.7,TRUE,68.0,263.0
1.71,ALWAYS,21.0,72.0
1.71,RELIGION,16.0,56.0
1.72,LOGIC,3.0,1.0
1.72,SUFFICE,29.0,161.0
1.73,KNOWLEDGE,40.0,163.0
1.73,INSOLENT,8.0,12.0
1.74,WHO,58.0,171.0
1.74,SORROWFUL,16.0,66.0
1.74,RECOMMEND,8.0,13.0
1.74,KINDNESS,18.0,67.0
1.75,STUPID,85.0,263.0
1.75,SEEM,29.0,107.0
1.75,CURIOUS,7.0,17.0
1.77,SOMETIMES,8.0,19.0
1.78,ATTENTIVE,5.0,3.0
1.78,HAPPEN,86.0,422.0
1.79,CLEVER,45.0,145.0
1.79,OBSTINATE,21.0,37.0
1.79,SOON,31.0,43.0
1.79,OPPOSITE,27.0,73.0
1.8,NECESSARY,14.0,62.0
1.8,JEALOUSY,18.0,22.0
1.8,AGAINST,44.0,147.0
1.8,EFFECT,29.0,167.0
